MC01_c,MC02_c,MC03_c,MC04_c,WFc01_c,PK_State_Average
0,0,1,1,OH,0.6855828220858896
1,1,1,1,TX,0.6930051813471503
1,1,0,1,VA,0.7158119658119658
1,1,1,1,WA,0.7172619047619048
1,1,1,1,PA,0.6622222222222223
1,0,0,0,GA,0.6039603960396039
1,1,0,1,AL,0.6111111111111112
0,1,0,0,CA,0.7258566978193146
1,1,1,1,NH,0.7045454545454546
0,0,0,1,NJ,0.7
1,1,1,1,OH,0.6855828220858896
1,0,0,0,AL,0.6111111111111112
0,0,1,1,ND,0.6944444444444444
0,0,0,0,MT,0.7361111111111112
1,1,1,1,PA,0.6622222222222223
1,0,1,1,NY,0.7316810344827587
1,0,1,1,IL,0.6966911764705882
0,0,0,1,GA,0.6039603960396039
0,0,1,0,NJ,0.7
1,0,1,1,KS,0.75
1,1,1,1,CT,0.7205882352941176
1,0,1,1,IA,0.6938775510204082
1,1,1,1,FL,0.680628272251309
1,1,1,1,NY,0.7316810344827587
1,0,1,1,OR,0.6610169491525424
1,0,1,1,TX,0.6930051813471503
1,0,1,1,TX,0.6930051813471503
1,0,0,0,OR,0.6610169491525424
1,1,1,1,IL,0.6966911764705882
1,0,0,1,IN,0.6658415841584159
0,0,1,1,GA,0.6039603960396039
0,1,1,1,MI,0.7061068702290076
0,0,0,1,NC,0.6365384615384615
1,0,1,1,FL,0.680628272251309
1,0,1,1,NY,0.7316810344827587
0,0,0,1,AL,0.6111111111111112
1,1,1,1,CA,0.7258566978193146
1,1,1,1,VA,0.7158119658119658
1,0,0,1,AR,0.6214285714285714
1,1,0,1,NY,0.7316810344827587
0,0,0,0,NC,0.6365384615384615
1,1,0,1,MN,0.7476190476190476
1,1,1,1,MA,0.7105263157894737
0,0,0,0,CA,0.7258566978193146
1,0,0,1,FL,0.680628272251309
1,0,0,0,DE,0.75
1,0,1,1,FL,0.680628272251309
1,1,1,1,MI,0.7061068702290076
0,0,0,1,OK,0.6363636363636364
1,1,1,1,SD,0.7
1,1,1,1,CA,0.7258566978193146
1,1,1,1,GA,0.6039603960396039
1,1,1,1,TX,0.6930051813471503
1,1,0,1,MO,0.7005208333333334
0,1,1,1,CA,0.7258566978193146
1,0,1,0,MN,0.7476190476190476
1,0,0,0,PA,0.6622222222222223
0,0,0,1,TX,0.6930051813471503
1,0,1,1,OR,0.6610169491525424
1,0,1,1,TX,0.6930051813471503
1,0,0,0,UT,0.756578947368421
1,1,1,1,MD,0.7225274725274725
1,1,1,1,OH,0.6855828220858896
1,0,1,1,TX,0.6930051813471503
1,1,1,1,AZ,0.7268518518518519
1,0,1,1,CA,0.7258566978193146
0,0,0,0,NY,0.7316810344827587
1,1,1,0,IA,0.6938775510204082
1,1,1,1,NY,0.7316810344827587
1,1,1,1,KS,0.75
1,0,1,1,MO,0.7005208333333334
1,0,0,1,WI,0.7091346153846154
1,1,1,1,MI,0.7061068702290076
0,0,0,0,VA,0.7158119658119658
1,0,1,1,MN,0.7476190476190476
1,0,1,0,LA,0.6217948717948718
1,0,1,1,CA,0.7258566978193146
1,0,1,1,MD,0.7225274725274725
1,1,1,1,LA,0.6217948717948718
1,1,1,1,CA,0.7258566978193146
1,0,1,0,NY,0.7316810344827587
1,1,1,1,CT,0.7205882352941176
1,1,1,1,MO,0.7005208333333334
1,1,1,1,CA,0.7258566978193146
1,0,0,1,SC,0.7067307692307693
1,1,0,0,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
0,1,0,1,CA,0.7258566978193146
1,1,1,1,MS,0.6370967741935484
1,1,0,1,CA,0.7258566978193146
0,0,0,1,OH,0.6855828220858896
1,0,1,1,FL,0.680628272251309
1,0,1,1,FL,0.680628272251309
1,1,0,1,OH,0.6855828220858896
1,1,0,1,VA,0.7158119658119658
1,1,0,1,MA,0.7105263157894737
1,0,1,1,AZ,0.7268518518518519
0,0,0,0,PA,0.6622222222222223
1,1,1,1,CA,0.7258566978193146
1,1,1,1,NY,0.7316810344827587
1,1,1,1,TN,0.6728723404255319
1,0,1,1,CA,0.7258566978193146
1,0,0,1,PA,0.6622222222222223
1,1,1,1,AL,0.6111111111111112
1,1,1,0,OH,0.6855828220858896
0,0,1,0,TX,0.6930051813471503
1,0,1,1,WA,0.7172619047619048
1,0,1,1,IL,0.6966911764705882
1,0,1,1,WI,0.7091346153846154
0,1,0,1,MD,0.7225274725274725
1,0,1,1,NV,0.7666666666666667
0,0,0,0,FL,0.680628272251309
1,0,0,0,AZ,0.7268518518518519
