,Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Rental Count,Temp_Cat
0,2017-12-01,0,-5.2,37,2.2,0.0,0.0,Winter,False,1,257,Freezing
1,2017-12-01,1,-5.5,38,0.8,0.0,0.0,Winter,False,1,219,Freezing
2,2017-12-01,2,-6.0,39,1.0,0.0,0.0,Winter,False,1,162,Freezing
3,2017-12-01,3,-6.2,40,0.9,0.0,0.0,Winter,False,1,148,Freezing
4,2017-12-01,4,-6.0,36,2.3,0.0,0.0,Winter,False,1,97,Freezing
5,2017-12-01,5,-6.4,37,1.5,0.0,0.0,Winter,False,1,173,Freezing
6,2017-12-01,6,-6.6,35,1.3,0.0,0.0,Winter,False,1,167,Freezing
7,2017-12-01,7,-7.4,38,0.9,0.0,0.0,Winter,False,1,483,Freezing
8,2017-12-01,8,-7.6,37,1.1,0.0,0.0,Winter,False,1,853,Freezing
9,2017-12-01,9,-6.5,27,0.5,0.0,0.0,Winter,False,1,238,Freezing
10,2017-12-01,10,-3.5,24,1.2,0.0,0.0,Winter,False,1,385,Freezing
11,2017-12-01,11,-0.5,21,1.3,0.0,0.0,Winter,False,1,334,Freezing
12,2017-12-01,12,1.7,23,1.4,0.0,0.0,Winter,False,1,592,Chilly
13,2017-12-01,13,2.4,25,1.6,0.0,0.0,Winter,False,1,700,Chilly
14,2017-12-01,14,3.0,26,2.0,0.0,0.0,Winter,False,1,490,Chilly
15,2017-12-01,15,2.1,36,3.2,0.0,0.0,Winter,False,1,817,Chilly
16,2017-12-01,16,1.2,54,4.2,0.0,0.0,Winter,False,1,184,Chilly
17,2017-12-01,17,0.8,58,1.6,0.0,0.0,Winter,False,1,468,Chilly
18,2017-12-01,18,0.6,66,1.4,0.0,0.0,Winter,False,1,924,Chilly
19,2017-12-01,19,0.0,77,1.7,0.0,0.0,Winter,False,1,917,Chilly
20,2017-12-01,20,-0.3,79,1.5,0.0,0.0,Winter,False,1,184,Freezing
21,2017-12-01,21,-0.8,81,0.8,0.0,0.0,Winter,False,1,319,Freezing
22,2017-12-01,22,-0.9,83,1.5,0.0,0.0,Winter,False,1,473,Freezing
23,2017-12-01,23,-1.3,84,1.0,0.0,0.0,Winter,False,1,218,Freezing
24,2017-12-02,0,-1.8,87,1.1,0.0,0.0,Winter,False,1,199,Freezing
25,2017-12-02,1,-2.2,86,0.6,0.0,0.0,Winter,False,1,131,Freezing
26,2017-12-02,2,-2.9,86,1.5,0.0,0.0,Winter,False,1,179,Freezing
27,2017-12-02,3,-3.5,81,2.2,0.0,0.0,Winter,False,1,129,Freezing
28,2017-12-02,4,-3.8,79,2.0,0.0,0.0,Winter,False,1,55,Freezing
29,2017-12-02,5,-4.0,79,1.5,0.0,0.0,Winter,False,1,110,Freezing
30,2017-12-02,6,-4.3,82,2.1,0.0,0.0,Winter,False,1,85,Freezing
31,2017-12-02,7,-4.4,81,2.5,0.0,0.0,Winter,False,1,133,Freezing
